Index,Location,Section,Check,Name,Item_Required
124,Questionable Area,NULL,QA_SupplyKey3_check,Near Funicular Key,QA_Access
125,Questionable Area,NULL,QA_SupplyKey4_check,Behind Rundown Cabin Key,"Telekinesis or TimeBubble, QA_Access"
126,Questionable Area,NULL,QA_PsyChallengeMarkers1_check,Lamberstack Diner Sign,"PsiBlast, QA_Access"
127,Questionable Area,NULL,QA_PsyChallengeMarkers2_check,Sassclops Cave behind poster,"Pyrokinesis, QA_Access"
128,Questionable Area,NULL,QA_PsyChallengeMarkers3_check,Above Playground,"MentalConnection, ThoughtTuner, QA_Access"
129,Questionable Area,NULL,QA_PsyChallengeMarkers4_check,Aquatodome Interior,"PsiBlast, QA_Access"
130,Questionable Area,NULL,QA_PsyChallengeMarkers5_check,Aquatodome Exterior,"PsiBlast, QA_Access"
131,Questionable Area,NULL,QA_PsyChallengeMarkers6_check,Rundown Cabin,"Telekinesis or TimeBubble, QA_Access"
132,Questionable Area,NULL,QA_PsyChallengeMarkers7_check,Queepie's Quest,"Levitation, Pyrokinesis, QA_Access"
133,Questionable Area,NULL,Human_Skull_check,Human Skull,"Telekinesis, QA_Access"
134,Questionable Area,NULL,Novelty_Mug_check,Novelty Mug,"Projection, QA_Access"
135,Questionable Area,NULL,Can_of_Corn_check,Can of Corn,"Levitation, Pyrokinesis, QA_Access"
136,Questionable Area,NULL,Switchblade_Hatchet_check,Switchblade Hatchet,"TimeBubble, QA_Access"
137,Questionable Area,NULL,Psychoseismonitor2_check,Trees above Campfire Psychoseismonitor,"Levitation, QA_Access"
138,Questionable Area,NULL,Psychoseismonitor3_check,Secret Cave near family camp Psychoseismonitor,QA_Access
139,Questionable Area,NULL,Lilis_Mushroom_check,Fungus Behind Waterfall,"TimeBubble, QA_Access"
140,Questionable Area,Forgetful Forest,Bee_Jar_check,Beehive,QA_Access
141,Green Needle Gulch,NULL,GNG_PsiCard1_check,Tightrope near branches over water,GNG_Access
142,Green Needle Gulch,NULL,GNG_PsiCard2_check,Wooden panel on Lake,GNG_Access
143,Green Needle Gulch,NULL,GNG_PsiCard3_check,Tightrope Path back up cliff,GNG_Access
144,Green Needle Gulch,NULL,GNG_PsiCard4_check,Nona's House Balcony,GNG_Access
145,Green Needle Gulch,NULL,GNG_PsiCard5_check,Grind rail across bridge,GNG_Access
146,Green Needle Gulch,NULL,GNG_PsiCard6_check,Heptadome Entrance,GNG_Access
147,Green Needle Gulch,NULL,GNG_PsiCard7_check,Heptadome Chalkboard,GNG_Access
148,Green Needle Gulch,NULL,GNG_PsiCard8_check,Heptadome Near BT and Ottomatic,GNG_Access
149,Green Needle Gulch,NULL,GNG_PsiCard9_check,Heptadome Exterior lamp post,GNG_Access
150,Green Needle Gulch,NULL,GNG_PsiCard10_check,Heptadome exterior bushes,GNG_Access
151,Green Needle Gulch,NULL,GNG_PsiCard11_check,Compton's Menagerie Entrance,GNG_Access
152,Green Needle Gulch,NULL,GNG_PsiCard12_check,Compton's Menagerie Stable,GNG_Access
153,Green Needle Gulch,NULL,GNG_PsiCard13_check,Compton's Menagerie above supply chest,GNG_Access
154,Green Needle Gulch,NULL,GNG_PsiCard14_check,Compton's Menagerie Bird Cage,GNG_Access
155,Green Needle Gulch,NULL,GNG_PsiCard15_check,Compton's Menagerie Cliff,GNG_Access
156,Green Needle Gulch,NULL,GNG_PsiCard16_check,Otto's Workshop,GNG_Access
157,Green Needle Gulch,NULL,GNG_PsiCard17_check,Bob's Beanstalk lower path,GNG_Access
158,Green Needle Gulch,NULL,GNG_PsiCard18_check,Bob's Beanstalk mid path,GNG_Access
159,Green Needle Gulch,NULL,GNG_PsiCard19_check,Bob's Beanstalk summit,GNG_Access
160,Green Needle Gulch,NULL,GNG_PsiCard20_check,Bee smoker,GNG_Access
161,Green Needle Gulch,NULL,GNG_PsiCard21_check,Helmut's stage,GNG_Access
162,Green Needle Gulch,NULL,GNG_PsiCard22_check,Hemut's stage tightrope,GNG_Access
163,Green Needle Gulch,NULL,GNG_PsiCard23_check,Ford's office chimney,"Levitation, GNG_Access"
164,Green Needle Gulch,NULL,GNG_PsiCard24_check,Above Ford's office,"Levitation, MentalConnection, GNG_Access"
165,Green Needle Gulch,NULL,GNG_PsiCard25_check,Riverfront behind Ford's office,GNG_Access
166,Green Needle Gulch,NULL,GNG_PsiCard26_check,Bee domain,"Telekinesis, GNG_Access"
167,Green Needle Gulch,NULL,GNG_PsiCard27_check,Cassie's house,"Telekinesis, GNG_Access"
168,Green Needle Gulch,NULL,GNG_SupplyChests1_check,Compton's Menagerie,GNG_Access
169,Green Needle Gulch,NULL,GNG_SupplyChests2_check,Cassie's House,"Telekinesis, Projection, GNG_Access"
170,Green Needle Gulch,NULL,GNG_SupplyKey1_check,Otto's Workshop key,GNG_Access
171,Green Needle Gulch,NULL,GNG_SupplyKey2_check,Beaver Wood Pile key,"Clairvoyance, GNG_Access"
172,Green Needle Gulch,NULL,GNG_PsyChallengeMarkers1_check,Hollow stump in swamp,"MentalConnection, GNG_Access, ThoughtTuner"
173,Green Needle Gulch,NULL,GNG_PsyChallengeMarkers2_check,Treehouse above Ford's office,"Levitation, MentalConnection, GNG_Access, ThoughtTuner"
174,Green Needle Gulch,NULL,GNG_PsyChallengeMarkers3_check,Outhouse,"Projection, GNG_Access"
175,Green Needle Gulch,NULL,GNG_PsyChallengeMarkers4_check,Psychoisolation Chamber,GNG_Access
176,Green Needle Gulch,NULL,MurderBot_check,Mini Murder Bug Bot,GNG_Access
177,Green Needle Gulch,NULL,Beehive_check,Beehive shaped like my phone,"Telekinesis, GNG_Access"
178,Green Needle Gulch,NULL,VikingHelmet_check,Viking Helmet,GNG_Access
179,Green Needle Gulch,NULL,Mindswarm_check,Signed Copy of Mindswarm,"Telekinesis, GNG_Access"
180,Loboto's Labrynth,Central Office,Loboto_Nugget1_check,Behind Painting,"Pyrokinesis, Telekinesis, Loboto_Access, Loboto_StoryComplete"
181,Loboto's Labrynth,Trash can,Loboto_Nugget2_check,Behind Dental Door,"Telekinesis, Loboto_Access, Loboto_StoryComplete"
182,Loboto's Labrynth,Central Office,Loboto_MemoryVault1_check,Behind Box Shelf,Loboto_Access
183,Loboto's Labrynth,Asylum,Loboto_MemoryVault2_check,MC right of Asylum entrance,"Telekinesis, Pyrokinesis, PsiBlast, Levitation, MentalConnection, Loboto_Access"
184,Loboto's Labrynth,Asylum,Loboto_Suitcase_Tag_check,Tooth Path at Asylum Entrance,"Telekinesis, Pyrokinesis, PsiBlast, Levitation, Loboto_Access"
185,Loboto's Labrynth,Conference Room,Loboto_Hatbox_Tag_check,Next to long table,"Telekinesis, Loboto_Access"
186,Loboto's Labrynth,Dental Void,Loboto_Purse_Tag_check,Top platform after first draft,"Telekinesis, Pyrokinesis, PsiBlast, Levitation, Loboto_Access"
187,Loboto's Labrynth,Dental Void,Loboto_SteamerTrunk_Tag_check,MC before Levitation Tunnel,"Telekinesis, Pyrokinesis, PsiBlast, Levitation, MentalConnection, Loboto_Access"
188,Loboto's Labrynth,Central Office,Loboto_Dufflebag_Tag_check,Next to desks,"Telekinesis, Loboto_Access"
189,Loboto's Labrynth,Conference Room,Loboto_Suitcase_check,Behind Mouth Poster,"Pyrokinesis, Telekinesis, Loboto_Access"
190,Loboto's Labrynth,Poster Gallery,Loboto_Hatbox_check,Secret Room behind Loboto Painting,"Telekinesis, Pyrokinesis, PsiBlast, Loboto_Access"
191,Loboto's Labrynth,Poster Gallery,Loboto_Purse_check,Loboto's Office Bookshelf,"Telekinesis, Pyrokinesis, PsiBlast, Loboto_Access"
192,Loboto's Labrynth,Asylum,Loboto_SteamerTrunk_check,MC to island at Asylum entrance,"Telekinesis, Pyrokinesis, PsiBlast, Levitation, MentalConnection, Loboto_Access"
193,Loboto's Labrynth,Central Office,Loboto_Dufflebag_check,Copy Machine,"Telekinesis, Loboto_Access"
194,Loboto's Labrynth,NULL,Loboto_20PercentFigments,Loboto's Labrynth,"Telekinesis, Loboto_Access"
195,Loboto's Labrynth,NULL,Loboto_40PercentFigments,Loboto's Labrynth,"Telekinesis, PsiBlast, Loboto_Access"
196,Loboto's Labrynth,NULL,Loboto_60PercentFigments,Loboto's Labrynth,"Telekinesis, Pyrokinesis, PsiBlast, Loboto_Access"
197,Loboto's Labrynth,NULL,Loboto_80PercentFigments,Loboto's Labrynth,"Telekinesis, Pyrokinesis, PsiBlast, Levitation, Loboto_Access"
198,Loboto's Labrynth,NULL,Loboto_100PercentFigments,Loboto's Labrynth,"Telekinesis, Pyrokinesis, PsiBlast, Levitation, MentalConnection, Loboto_Access"
199,Hollis' Classroom,Hollis' Classroom,HC_Nugget1_check,HC Upper Platform,"MentalConnection, HC_Access"
200,Hollis' Classroom,Morgue,HC_Nugget2_check,Chapel,"MentalConnection, HC_Access"
201,Hollis' Classroom,Hospital Parking Lot,HC_Nugget3_check,Parking Lot Bushes,"MentalConnection, HC_Access"
202,Hollis' Classroom,Morgue,HC_HAM1_check,Morgue Floor,"MentalConnection, HC_Access"
203,Hollis' Classroom,Morgue,HC_HAM2_check,Top Platform,"MentalConnection, HC_Access"
204,Hollis' Classroom,Morgue,HC_MemoryVault1_check,Hallway to Chapel,"MentalConnection, HC_Access"
205,Hollis' Classroom,Hospital Parking Lot,HC_Hatbox_Tag_check,"Right side roof, top of AC","MentalConnection, HC_Access"
206,Hollis' Classroom,Hollis' Classroom,HC_SteamerTrunk _Tag_check,Back desk with boxes,HC_Access
207,Hollis' Classroom,Hospital Parking Lot,HC_Hatbox_check,Right side near Trash Can,"MentalConnection, HC_Access"
208,Hollis' Classroom,Hospital Parking Lot,HC_SteamerTrunk_check,"Left side roof, behind AC pipes","MentalConnection, HC_Access"
209,Hollis' Classroom,NULL,HC_20PercentFigments,Hollis' Classroom,HC_Access
210,Hollis' Classroom,NULL,HC_40PercentFigments,Hollis' Classroom,HC_Access
211,Hollis' Classroom,NULL,HC_60PercentFigments,Hollis' Classroom,"MentalConnection, HC_Access"
212,Hollis' Classroom,NULL,HC_80PercentFigments,Hollis' Classroom,"MentalConnection, HC_Access"
213,Hollis' Classroom,NULL,HC_100PercentFigments,Hollis' Classroom,"MentalConnection, HC_Access"
214,Hollis' Hot Streak,Hospital Parking Lot,HH_Nugget1_check,MC after first Heart,"MentalConnection, MentalConnection_Upgrade3, PsiBlast, HH_Access"
215,Hollis' Hot Streak,Hospital Parking Lot,HH_Nugget2_check,Behind Emergency Sign,HH_Access
216,Hollis' Hot Streak,Cardiology,HH_Nugget3_check,Cardiology Storage Room,"Projection, HH_Access"
217,Hollis' Hot Streak,Morgue,HH_Nugget4_check,Records Room Poster,"Pyrokinesis, HH_Access"
218,Hollis' Hot Streak,Shattered Classroom,HH_HAM1_check,SC Bottom Platform,"MentalConnection, HH_Access"
219,Hollis' Hot Streak,Shattered Classroom,HH_HAM2_check,SC Top Platform,"MentalConnection, HH_Access"
220,Hollis' Hot Streak,Cardiology Back Room,HH_HAM3_check,Booth Seat behind wall,"MentalConnection, Levitation, HH_Access"
221,Hollis' Hot Streak,Maternity Ward Backroom,HH_HAM4_check,Dice block before Psi Wall,"MentalConnection, HH_Access"
222,Hollis' Hot Streak,Morgue,HH_MemoryVault1_check,Doctor's Only,"MentalConnection, HH_Access"
223,Hollis' Hot Streak,Casino Parking Lot,HH_Suitcase_Tag_check,"Left side roof, behind AC pipes","MentalConnection, HH_Access"
224,Hollis' Hot Streak,Maternity Ward,HH_Purse_Tag_check,MC path above entry tunnel,"MentalConnection, HH_Access"
225,Hollis' Hot Streak,Maternity Ward Backroom,HH_Dufflebag_Tag_check,Rotating Poker Chips,"MentalConnection, HH_Access"
226,Hollis' Hot Streak,Cardiology,HH_Suitcase_check,Back booth,"MentalConnection, HH_Access"
227,Hollis' Hot Streak,Morgue,HH_Purse_check,"Records right path, Trash Can","MentalConnection, HH_Access"
228,Hollis' Hot Streak,Maternity Ward,HH_Dufflebag_check,DT top of dice,"MentalConnection, MentalConnection_Upgrade3, HH_Access"
229,Hollis' Hot Streak,NULL,HH_20PercentFigments,Hollis' Hot Streak,"MentalConnection, HH_Access"
230,Hollis' Hot Streak,NULL,HH_40PercentFigments,Hollis' Hot Streak,"MentalConnection, HH_Access"
231,Hollis' Hot Streak,NULL,HH_60PercentFigments,Hollis' Hot Streak,"MentalConnection, HH_Access"
232,Hollis' Hot Streak,NULL,HH_80PercentFigments,Hollis' Hot Streak,"MentalConnection, HH_Access"
233,Hollis' Hot Streak,NULL,HH_100PercentFigments,Hollis' Hot Streak,"MentalConnection, MentalConnection_Upgrade3, PsiBlast, Levitation, HH_Access"
234,Compton's Cookoff,Any,Compton_Nugget1_check,Slide next to Frog Pan,"Telekinesis, Compton_Access"
235,Compton's Cookoff,Any,Compton_Nugget2_check,DT path - Hippo to Cat,"Telekinesis, MentalConnection, MentalConnection_Upgrade3, Compton_Access"
236,Compton's Cookoff,After Dish 1,Compton_HAM1_check,Complete first plate,"Telekinesis, Compton_Access"
237,Compton's Cookoff,After Dish 2,Compton_HAM2_check,Complete second plate,"Telekinesis, Compton_Access"
238,Compton's Cookoff,Any,Compton_MemoryVault1_check,Front of Cat Blender,"Telekinesis, Compton_Access"
239,Compton's Cookoff,Any,Compton_MemoryVault2_check,Left of Chef Pig's Hoof,"Telekinesis, Compton_Access"
240,Compton's Cookoff,Any,Compton_Suitcase_Tag_check,Behind sign above frog,"Telekinesis, Compton_Access"
241,Compton's Cookoff,Any,Compton_Hatbox_Tag_check,Far right grind rail,"Telekinesis, Compton_Access"
242,Compton's Cookoff,Any,Compton_Purse_Tag_check,Seats between frog and cat,"Telekinesis, Compton_Access"
243,Compton's Cookoff,Completion,Compton_SteamerTrunk_Tag_check,Top prize box,"Telekinesis, Compton_Access"
244,Compton's Cookoff,Any,Compton_Dufflebag_Tag_check,MC path behind Hippo,"Telekinesis, Compton_Access"
245,Compton's Cookoff,Any,Compton_Suitcase_check,Bottom path before Hippo,"Telekinesis, Compton_Access"
246,Compton's Cookoff,Any,Compton_Hatbox_check,Seats below slide,"Telekinesis, Compton_Access"
247,Compton's Cookoff,Any,Compton_Purse_check,Below frog station hot plates,"Telekinesis, Compton_Access"
248,Compton's Cookoff,Any,Compton_SteamerTrunk_check,Behind Cat blender,"Telekinesis, Compton_Access"
249,Compton's Cookoff,Any,Compton_Dufflebag_check,Behind Chef Pig Chopper,"Telekinesis, Compton_Access"
250,Compton's Cookoff,NULL,Compton_20PercentFigments,Compton's Cookoff,Compton_Access
251,Compton's Cookoff,NULL,Compton_40PercentFigments,Compton's Cookoff,"Telekinesis, Compton_Access"
252,Compton's Cookoff,NULL,Compton_60PercentFigments,Compton's Cookoff,"Telekinesis, Compton_Access"
253,Compton's Cookoff,NULL,Compton_80PercentFigments,Compton's Cookoff,"Telekinesis, Compton_Access"
254,Compton's Cookoff,NULL,Compton_100PercentFigments,Compton's Cookoff,"Telekinesis, MentalConnection, MentalConnection_Upgrade3, Compton_Access"
255,Psi King's Sensorium,Eye Shrine,PsiKing_Nugget1_check,Star platforms near first light,"TimeBubble, PsiKing_Access"
256,Psi King's Sensorium,Ear Hand Shrine,PsiKing_Nugget2_check,On top of tongue,"Telekinesis, TimeBubble, PsiKing_Access"
257,Psi King's Sensorium,Nose Mouth Shrine,PsiKing_Nugget3_check,First Light Bridge,"TimeBubble or Levitation, PsiKing_Access"
258,Psi King's Sensorium,Backstage,PsiKing_HAM1_check,Under stage behind poster,"Pyrokinesis, PsiKing_Access"
259,Psi King's Sensorium,Eye Shrine,PsiKing_HAM2_check,Fan after 2nd light bridge,"TimeBubble, PsiKing_Access"
